business_id_orig,casual,classy,divey,hipster,intimate,romantic,touristy,trendy,upscale
6iYb2HFDywm3zjuRg0shjw,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
tCbdrRPZA0oiIYSmHG3J0w,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
D4JtQNTI4X3KcbzacDJsMw,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
HPA_qyMEddpAEtFof02ixg,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
dmbbf3AqeG61_QHRZi1M1w,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ynTjh_FdhbG5hY69HsEoaA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
hcRxdDg7DYryCxCoI8ySQA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
arEXRZYu8220bFBJ3VAh3A,null,FALSE,null,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
jGennaZUr2MsJyRhijNBfA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,null,FALSE,FALSE
QciD6FbNklaJvUbLExD4Nw,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
iPD8BBvea6YldQZPHzVrSQ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
jx91IMdGOmLOo8h_F9z39g,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Xw8tuI30T-xihpzwBV-zJg,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NRPemqVb4qpWFF0Avq_6OQ,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
TRToVIbaVtu1KOE8DR9gCw,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Xi2GGNzOiUS8r6WCFvu-fw,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5PsApTz-WqhF_-8mfqGtGw,TRUE,FALSE,FALSE,null,FALSE,FALSE,FALSE,FALSE,FALSE
w4qVflIAbdklzG3mnKmQsg,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Of6xu3pY3eHe2yhiyz2dvg,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
djolOChjDtxniurUFP_SXA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Z2JC3Yrz82kyS86zEVJG5A,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
bRsDZ44CD3uhGnRY3NeQhQ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
z8-_6l5EhX5NuPfWzJYQMA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
qbZJh9lR0gh4Wca96NQv9g,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
z-0oY7VxQMQw3JHvdPejrA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
