Baldwin County,Alabama,82325,4.9,3.9,9.4,10.4,16.5,14.1,13.3,16,4.9,6.6,56439,81449,35.8,AL
Calhoun County,Alabama,44636,9.6,7.3,8.4,13.1,12.8,18.7,12.2,12.9,2.8,2.2,48156,61137,38.2,AL
Cullman County,Alabama,32090,4.4,5.4,11,13.2,14.9,22,15.3,8.6,2.9,2.4,50906,61920,43.2,AL
DeKalb County,Alabama,24880,7.2,8.4,15.6,7.6,16.9,18.9,10.7,11,3,0.7,44208,56777,36.4,AL
Elmore County,Alabama,30712,2.9,1.9,13.2,10.8,10.3,21,11.4,16.3,6.4,5.8,61854,82576,34.9,AL
Etowah County,Alabama,40053,9.9,6.3,15.9,11.8,13.4,17.5,9.7,10.3,3,2.3,41447,59944,40.2,AL
Houston County,Alabama,39761,9.2,6,11.2,11.2,12.4,18.9,10.2,11.6,5.2,4.3,50103,69495,43.6,AL
Jefferson County,Alabama,264753,9.7,5,8.9,10.4,12.6,17,9.8,14.1,5.9,6.6,53944,79833,42.4,AL
Lauderdale County,Alabama,38761,9.3,7,10.8,10.2,15.2,16.6,13.3,12.5,2.3,2.8,46632,62091,44.3,AL
Lee County,Alabama,64448,11.2,6.3,11.7,6.3,12.2,17.9,9.8,13,5.7,5.8,53712,78000,32,AL
Limestone County,Alabama,32020,3.7,5.9,8.4,12.2,10.1,16.8,11.8,18.9,6.7,5.5,63695,83580,33.4,AL
Madison County,Alabama,155878,5.2,4.4,8.9,8.8,11.7,14.5,12.4,17.5,9.2,7.3,67930,88904,27.5,AL
Marshall County,Alabama,35330,8,4.6,12.6,8.1,16.9,21.2,12,9.8,3.6,3.2,49467,63823,42.8,AL
Mobile County,Alabama,155946,9,5.8,11.2,10.2,14.2,20.3,10.5,11.3,4.3,3.2,49639,64556,38.3,AL
Montgomery County,Alabama,88864,8.1,3.6,9.2,10.1,15.7,20.2,11.1,13.3,4.5,4.3,53117,72113,33.8,AL
Morgan County,Alabama,46470,6.8,5.3,9.4,11,12.8,19.6,12.1,13.9,4.9,4.2,54338,73817,33.3,AL
St. Clair County,Alabama,32829,3.9,2.9,7.8,8.7,12.6,20.2,13.8,22.3,4,3.9,67487,78406,31.2,AL
Shelby County,Alabama,84048,3.9,2.8,7.4,6.8,10.8,17.9,13.4,19.7,8,9.2,75614,101601,33.3,AL
Talladega County,Alabama,30602,9.7,6.8,13.5,12.2,7.7,16.4,13.5,14.3,3.6,2.4,50147,62758,38.6,AL
Tuscaloosa County,Alabama,74259,9,5,10.6,11,12.6,17.6,8.4,15.1,5.5,5.3,52243,73432,45.9,AL
Walker County,Alabama,25153,7.4,5.3,14.4,10.9,15,16.3,12,13.7,3.3,1.9,46283,60865,52.7,AL
Anchorage Municipality,Alaska,105198,3.8,2.7,4.6,6.6,10.1,17.6,13.1,20.4,10.8,10.2,82716,109042,31.4,AK
Fairbanks North Star Borough,Alaska,35556,2.8,1.9,7.7,5.7,11.5,21.5,11.1,16,9.4,12.4,72065,103334,24,AK
Matanuska-Susitna Borough,Alaska,32736,4.5,2.9,7.7,6.9,9.6,18.7,14.6,18,8.7,8.4,74709,92126,35.5,AK
Apache County,Arizona,20925,22.3,6.6,13.6,12.3,12.3,14.5,6.2,9.9,1.4,0.7,30480,43748,58.6,AZ
Cochise County,Arizona,51982,7.8,4.5,9.9,11,18.5,15.6,10.7,14.3,4.9,2.8,48484,67592,30.8,AZ
Coconino County,Arizona,48993,9.3,5.5,6.7,6.8,13.8,18.2,10.9,15,8.3,5.6,58085,81219,32.7,AZ
Maricopa County,Arizona,1611722,5,2.8,7.2,7.5,12.8,18.6,13.7,16.8,7.3,8.3,68649,92992,36.8,AZ
Mohave County,Arizona,91095,4.9,4.9,12.1,11.2,16.6,22.5,12.6,9.8,2.7,2.5,50179,63437,36.7,AZ
Navajo County,Arizona,38732,12.8,5.1,10.8,15.9,15.8,15.7,9.9,9.8,2.8,1.5,38897,53425,38.4,AZ
Pima County,Arizona,410404,6.9,4.3,9.7,10,14.5,17.4,13.1,13.8,5.2,5,56169,76892,34.6,AZ
Pinal County,Arizona,153413,4.2,3.1,8.2,8.1,14.6,21.7,14.6,16.1,5.6,3.9,62057,78763,41.8,AZ
Yavapai County,Arizona,102784,5.5,5,10.7,9.4,15.6,21.1,11.5,12,4.2,4.8,53816,71282,30.6,AZ
Yuma County,Arizona,74042,10.5,5.6,11.2,10.9,14.5,18.8,14.9,9.5,2.3,1.8,46419,59182,42,AZ
Benton County,Arkansas,100749,4.4,3.4,6.9,7.7,11.2,19.4,15,16,6.2,9.7,69130,96757,31.6,AR
Craighead County,Arkansas,41409,6.2,5,14.9,13.7,13.4,14.8,9.8,14.6,3.4,4.1,45610,68763,38.2,AR
Faulkner County,Arkansas,47389,8.7,3.2,10.9,9.1,12.2,20.3,15.1,13.1,3.1,4.4,57642,74775,21.5,AR
Garland County,Arkansas,41743,8.3,8,11.5,10.1,16.7,19.7,10.3,8.3,4.6,2.6,45265,61782,43.5,AR
Jefferson County,Arkansas,27593,11.4,12.3,10.8,9.3,17.5,14.9,10.5,8,2,3.2,39326,53518,50.3,AR
Lonoke County,Arkansas,26052,6.9,3.6,7.6,6.9,13.8,19.1,15.2,16.2,7,3.6,62532,75963,30,AR
