"zip"|"type"|"state"|"county"|"country"|"latitude"|"longitude"|"irs_estimated_population"
"00544"|"UNIQUE"|"NY"|"Suffolk County"|"US"|"40.81"|"-73.04"|"0"
"00501"|"UNIQUE"|"NY"|"Suffolk County"|"US"|"40.81"|"-73.04"|"562"
"00601"|"STANDARD"|"PR"|"Adjuntas Municipio"|"US"|"18.16"|"-66.72"|"0"
"00602"|"STANDARD"|"PR"|"Aguada Municipio"|"US"|"18.38"|"-67.18"|"0"
"00603"|"STANDARD"|"PR"|"Aguadilla Municipio"|"US"|"18.43"|"-67.15"|"0"
"00604"|"PO BOX"|"PR"|""|"US"|"18.43"|"-67.15"|"0"
"00605"|"PO BOX"|"PR"|""|"US"|"18.43"|"-67.15"|"0"
"00606"|"STANDARD"|"PR"|"Maricao Municipio"|"US"|"18.18"|"-66.98"|"0"
"00610"|"STANDARD"|"PR"|"Anasco Municipio"|"US"|"18.28"|"-67.14"|"0"
"00611"|"PO BOX"|"PR"|""|"US"|"18.28"|"-66.79"|"0"
"00612"|"STANDARD"|"PR"|"Arecibo Municipio"|"US"|"18.45"|"-66.73"|"0"
"00613"|"PO BOX"|"PR"|""|"US"|"18.45"|"-66.73"|"0"
"00614"|"PO BOX"|"PR"|""|"US"|"18.45"|"-66.73"|"0"
"00616"|"STANDARD"|"PR"|"Arecibo Municipio"|"US"|"18.42"|"-66.67"|"0"
"00617"|"STANDARD"|"PR"|"Barceloneta Municipio"|"US"|"18.45"|"-66.56"|"0"
"00622"|"STANDARD"|"PR"|"Cabo Rojo Municipio"|"US"|"17.99"|"-67.15"|"0"
"00623"|"STANDARD"|"PR"|"Cabo Rojo Municipio"|"US"|"18.08"|"-67.14"|"0"
"00624"|"STANDARD"|"PR"|"Penuelas Municipio"|"US"|"18.06"|"-66.72"|"0"
"00627"|"STANDARD"|"PR"|"Camuy Municipio"|"US"|"18.48"|"-66.84"|"0"
"00631"|"PO BOX"|"PR"|"Lares Municipio"|"US"|"18.19"|"-66.82"|"0"
"00636"|"PO BOX"|"PR"|""|"US"|"18.15"|"-67.06"|"0"
"00637"|"STANDARD"|"PR"|"Sabana Grande Municipio"|"US"|"18.08"|"-66.96"|"0"
"00638"|"STANDARD"|"PR"|"Ciales Municipio"|"US"|"18.33"|"-66.47"|"0"
"00641"|"STANDARD"|"PR"|"Utuado Municipio"|"US"|"18.27"|"-66.7"|"0"
"00646"|"STANDARD"|"PR"|"Dorado Municipio"|"US"|"18.47"|"-66.27"|"0"
"00647"|"STANDARD"|"PR"|"Guanica Municipio"|"US"|"17.96"|"-66.94"|"0"
"00650"|"STANDARD"|"PR"|"Florida Municipio"|"US"|"18.36"|"-66.56"|"0"
"00652"|"STANDARD"|"PR"|"Arecibo Municipio"|"US"|"18.45"|"-66.6"|"0"
"00653"|"STANDARD"|"PR"|"Guanica Municipio"|"US"|"17.99"|"-66.89"|"0"
"00656"|"STANDARD"|"PR"|"Guayanilla Municipio"|"US"|"18.02"|"-66.79"|"0"
"00659"|"STANDARD"|"PR"|"Hatillo Municipio"|"US"|"18.48"|"-66.82"|"0"
"00660"|"STANDARD"|"PR"|"Hormigueros Municipio"|"US"|"18.14"|"-67.12"|"0"
"00662"|"STANDARD"|"PR"|"Isabela Municipio"|"US"|"18.5"|"-67.02"|"0"
"00664"|"STANDARD"|"PR"|"Jayuya Municipio"|"US"|"18.22"|"-66.59"|"0"
"00667"|"STANDARD"|"PR"|"Lajas Municipio"|"US"|"18.04"|"-67.06"|"0"
"00669"|"STANDARD"|"PR"|"Lares Municipio"|"US"|"18.29"|"-66.88"|"0"
"00670"|"STANDARD"|"PR"|"Las Marias Municipio"|"US"|"18.27"|"-67.06"|"0"
"00674"|"STANDARD"|"PR"|"Manati Municipio"|"US"|"18.43"|"-66.48"|"0"
"00676"|"STANDARD"|"PR"|"Moca Municipio"|"US"|"18.39"|"-67.11"|"0"
"00677"|"STANDARD"|"PR"|"Rincon Municipio"|"US"|"18.34"|"-67.25"|"0"
"00678"|"STANDARD"|"PR"|"Quebradillas Municipio"|"US"|"18.47"|"-66.93"|"0"
"00680"|"STANDARD"|"PR"|"Mayaguez Municipio"|"US"|"18.2"|"-67.14"|"0"
"00681"|"PO BOX"|"PR"|""|"US"|"18.2"|"-67.14"|"0"
"00682"|"STANDARD"|"PR"|"Mayaguez Municipio"|"US"|"18.22"|"-67.16"|"0"
"00683"|"STANDARD"|"PR"|"San German Municipio"|"US"|"18.08"|"-67.04"|"0"
"00685"|"STANDARD"|"PR"|"San Sebastian Municipio"|"US"|"18.33"|"-66.99"|"0"
"00687"|"STANDARD"|"PR"|"Morovis Municipio"|"US"|"18.32"|"-66.4"|"0"
"00688"|"STANDARD"|"PR"|"Arecibo Municipio"|"US"|"18.38"|"-66.62"|"0"
"00690"|"STANDARD"|"PR"|"Aguadilla Municipio"|"US"|"18.49"|"-67.09"|"0"
"00692"|"STANDARD"|"PR"|"Vega Alta Municipio"|"US"|"18.41"|"-66.32"|"0"
"00693"|"STANDARD"|"PR"|"Vega Baja Municipio"|"US"|"18.44"|"-66.39"|"0"
"00694"|"PO BOX"|"PR"|"Vega Baja Municipio"|"US"|"18.48"|"-66.39"|"0"
"00698"|"STANDARD"|"PR"|"Yauco Municipio"|"US"|"18.03"|"-66.86"|"0"
"00703"|"STANDARD"|"PR"|"Aguas Buenas Municipio"|"US"|"18.25"|"-66.1"|"0"
"00704"|"STANDARD"|"PR"|"Salinas Municipio"|"US"|"17.96"|"-66.22"|"0"
"00705"|"STANDARD"|"PR"|"Aibonito Municipio"|"US"|"18.14"|"-66.26"|"0"
"00707"|"STANDARD"|"PR"|"Maunabo Municipio"|"US"|"18"|"-65.9"|"0"
"00714"|"STANDARD"|"PR"|"Arroyo Municipio"|"US"|"17.97"|"-66.06"|"0"
"00715"|"STANDARD"|"PR"|"Ponce Municipio"|"US"|"18.01"|"-66.56"|"0"
"00716"|"STANDARD"|"PR"|"Ponce Municipio"|"US"|"17.98"|"-66.6"|"0"
"00717"|"STANDARD"|"PR"|"Ponce Municipio"|"US"|"18"|"-66.61"|"0"
"00718"|"STANDARD"|"PR"|"Naguabo Municipio"|"US"|"18.21"|"-65.73"|"0"
"00719"|"STANDARD"|"PR"|"Naranjito Municipio"|"US"|"18.3"|"-66.24"|"0"
"00720"|"STANDARD"|"PR"|"Orocovis Municipio"|"US"|"18.22"|"-66.39"|"0"
"00721"|"PO BOX"|"PR"|""|"US"|"18.37"|"-65.77"|"0"
"00723"|"STANDARD"|"PR"|"Patillas Municipio"|"US"|"18"|"-66.01"|"0"
"00725"|"STANDARD"|"PR"|"Caguas Municipio"|"US"|"18.23"|"-66.03"|"0"
"00726"|"PO BOX"|"PR"|""|"US"|"18.23"|"-66.03"|"0"
"00727"|"STANDARD"|"PR"|"Caguas Municipio"|"US"|"18.22"|"-66.07"|"0"
"00728"|"STANDARD"|"PR"|"Ponce Municipio"|"US"|"17.99"|"-66.66"|"0"
"00729"|"STANDARD"|"PR"|"Canovanas Municipio"|"US"|"18.37"|"-65.9"|"0"
"00730"|"STANDARD"|"PR"|"Ponce Municipio"|"US"|"18.03"|"-66.62"|"0"
"00731"|"STANDARD"|"PR"|"Ponce Municipio"|"US"|"18.11"|"-66.63"|"0"
"00732"|"PO BOX"|"PR"|""|"US"|"17.98"|"-66.6"|"0"
"00733"|"PO BOX"|"PR"|""|"US"|"17.98"|"-66.6"|"0"
"00734"|"PO BOX"|"PR"|""|"US"|"17.98"|"-66.6"|"0"
"00735"|"STANDARD"|"PR"|"Ceiba Municipio"|"US"|"18.25"|"-65.68"|"0"
"00736"|"STANDARD"|"PR"|"Cayey Municipio"|"US"|"18.11"|"-66.16"|"0"
"00737"|"PO BOX"|"PR"|""|"US"|"18.11"|"-66.16"|"0"
"00738"|"STANDARD"|"PR"|"Fajardo Municipio"|"US"|"18.33"|"-65.65"|"0"
"00739"|"STANDARD"|"PR"|"Cidra Municipio"|"US"|"18.17"|"-66.15"|"0"
"00740"|"STANDARD"|"PR"|"Fajardo Municipio"|"US"|"18.33"|"-65.63"|"0"
"00741"|"STANDARD"|"PR"|"Humacao Municipio"|"US"|"18.16"|"-65.75"|"0"
"00742"|"STANDARD"|"PR"|""|"US"|"18.27"|"-65.65"|"0"
"00744"|"PO BOX"|"PR"|""|"US"|"18.22"|"-65.79"|"0"
"00745"|"STANDARD"|"PR"|"Rio Grande Municipio"|"US"|"18.38"|"-65.83"|"0"
"00751"|"STANDARD"|"PR"|"Salinas Municipio"|"US"|"17.97"|"-66.29"|"0"
"00754"|"STANDARD"|"PR"|"San Lorenzo Municipio"|"US"|"18.19"|"-65.96"|"0"
"00757"|"STANDARD"|"PR"|"Santa Isabel Municipio"|"US"|"17.97"|"-66.4"|"0"
"00765"|"STANDARD"|"PR"|"Vieques Municipio"|"US"|"18.13"|"-65.44"|"0"
"00766"|"STANDARD"|"PR"|"Villalba Municipio"|"US"|"18.13"|"-66.48"|"0"
"00767"|"STANDARD"|"PR"|"Yabucoa Municipio"|"US"|"18.04"|"-65.87"|"0"
"00769"|"STANDARD"|"PR"|"Coamo Municipio"|"US"|"18.08"|"-66.36"|"0"
"00771"|"STANDARD"|"PR"|"Las Piedras Municipio"|"US"|"18.18"|"-65.86"|"0"
"00772"|"STANDARD"|"PR"|"Loiza Municipio"|"US"|"18.43"|"-65.88"|"0"
"00773"|"STANDARD"|"PR"|"Luquillo Municipio"|"US"|"18.37"|"-65.71"|"0"
"00775"|"PO BOX"|"PR"|"Culebra Municipio"|"US"|"18.33"|"-65.3"|"0"
"00777"|"STANDARD"|"PR"|"Juncos Municipio"|"US"|"18.22"|"-65.91"|"0"
"00778"|"STANDARD"|"PR"|"Gurabo Municipio"|"US"|"18.25"|"-65.97"|"0"
"00780"|"STANDARD"|"PR"|"Ponce Municipio"|"US"|"18.09"|"-66.57"|"0"
"00782"|"STANDARD"|"PR"|"Comerio Municipio"|"US"|"18.22"|"-66.22"|"0"
