business_id,restaurantspricerange,income_range
_kwUdZSX0HHsiiX8HqJE9A,2,>600k and <700k
37t4cL5-PyfZ0Ie8AHKuVQ,1,>600k and <700k
kruIJBUOPbz_WCxSp1Yl8w,1,>600k and <700k
wzYnxBSqvNC2AKuszHE6FQ,Not Available,>600k and <700k
QiEW8iECtez8cz2UsyAzBA,1,>600k and <700k
ViXB57j0j3NGzg-SKUIY7A,1,>600k and <700k
5TD_oX1Bd7U6oHcPCP5owA,2,>600k and <700k
_VU3ahWLwcCqQmPpTFB0xg,1,>600k and <700k
WF2L2lz8w85uQJZxCwNfXQ,2,>600k and <700k
o56tgSF7UwGE_OzdlknGxA,2,>600k and <700k
S4tIPE9W0riEXeF7WXBtLA,2,>600k and <700k
dxzqnii2V68wCQu5IsNLMA,1,>600k and <700k
rTNzcemJSS82pBFnMrKIrA,1,>600k and <700k
KawtwxJOT_tdioV65gxbLA,2,>600k and <700k
eS23Opvv1b6JCU_dN8_o5g,2,>600k and <700k
oTvldDvgRCJj6CxZyTtGKA,1,>600k and <700k
QFk2nARUi-lVogw-NLHR4A,1,>600k and <700k
Wi66Fw1fdr4W71J55PIoow,1,>600k and <700k
iJuKurmGcMzvDknKn9ik5g,2,>600k and <700k
VO68aDAvSCHIf_E16lqMEQ,2,>600k and <700k
qV6XycYySgKwGFxa0EOODA,2,>600k and <700k
DAOzIkng5ImFc-e0MI7biQ,1,>600k and <700k
xFNOWBgY1eEguTYTZfSM9g,1,>600k and <700k
li_Ba23hOchCAIKaLE5NVg,Not Available,>600k and <700k
PdQo0wFfXE3RTV8JbV7aaQ,2,>600k and <700k
cx4QKEzhymlVLsLezHba7Q,1,>600k and <700k
4_JhsvIImVFbrUr5qN_jKw,1,>600k and <700k
o3ljKQ-SDEh-cR5WqUGXIQ,1,>600k and <700k
9KufkCBs7LEWBEHUJCVA-Q,1,>600k and <700k
xc4F8c4_jPkLTq49SqiQHg,3,>600k and <700k
FU42ltZoEwtnVhoRrrZDCA,3,>600k and <700k
dIIfx-inPKy68TyrCNeoSg,Not Available,>600k and <700k
xm2PWrGQv7kV7Vde6efznw,Not Available,>600k and <700k
slNgR8qUKA_028yldMaXLA,2,>600k and <700k
FyNRjdcGjrlW8qMHXUPhow,2,>600k and <700k
aAWlf3Qip7oSOB4FXNvLDg,2,>600k and <700k
F1ld2NVgovhd7p45Lcl2TA,2,>600k and <700k
xx8QCIwPzAWiNWIUJp81Hg,2,>600k and <700k
6BX0NoH_wYHyVbsxmUASbQ,2,>600k and <700k
SBH_WvIMI2b98Zw40J1VEg,2,>600k and <700k
HJtNrD1u6LZj96nZoVRiyg,1,>600k and <700k
1sCT47lwTppPEnpgmX4ZUA,2,>600k and <700k
RzgwMOAVg76OQ_-w_xWMtg,2,>600k and <700k
An9N5Hd_UuJigdi6iH2VMw,2,>600k and <700k
ud7hNpXFVdpMCl_6fK8UZA,1,>600k and <700k
LjNCmbd-3YaV7v8lHOEg1Q,2,>600k and <700k
EwL0dpdmodp01s89-mkFOA,2,>600k and <700k
fZIgV94qdL3eRBQFT2Po3Q,2,>600k and <700k
QVeh3hvZw0Z8D4PjkSDGpw,Not Available,>600k and <700k
9bKKhluWr53cC_LRYm_6uQ,2,>600k and <700k
eBhrV2Z2InOzpPjlKfBDnA,1,>600k and <700k
LY5zxIr_IZ0Ur-Hx_QqnMQ,1,>600k and <700k
ptwwkiGwta8jqooNZt0_0w,2,>600k and <700k
39eFJrJnR23Pzb0o9TqZhQ,2,>600k and <700k
r3PbGrRv8UvVm79ypro7jg,2,>600k and <700k
pJ05i55q3vmw_SN-OWyeMg,2,>600k and <700k
uVd4bIoX5QLQYvH9hd_NXQ,2,>600k and <700k
8020DIdJcW88RMN_RUPtKg,2,>600k and <700k
vR8NjwYEjMGfkze924cBxA,1,>600k and <700k
-DXGY6oAq6Yc_WE0_OvV_Q,2,>600k and <700k
4UbaogV4RT2Ip5owTZaLDg,2,>600k and <700k
-PbX69zEa5SdfjHa9pGAGQ,1,>600k and <700k
JyrEy-wWwwmZDrGvEj6gSA,2,>600k and <700k
YZ96SKnjTamCgwmhQYtBpQ,2,>600k and <700k
N5-mD-hEvLjCAfGM3L60rQ,1,>600k and <700k
kgmDdiEsBYFn6AMQPBxBWQ,1,>600k and <700k
4A-7VxQwAGvKyQGmdRW2MA,1,>600k and <700k
rsb-HCRq__27wkcBxsgHkw,1,>600k and <700k
CdNU-9vezpGA6ZL0z4WCrQ,2,>600k and <700k
j5o5hpAl7jbYqpOAjxodpQ,Not Available,>600k and <700k
QeyP45MhFGBinRwuPkVuBw,2,>600k and <700k
NlZWZorD4qtbwAwPW5jPAw,2,>600k and <700k
syquaI-x_U4BixYXGufUSg,3,>600k and <700k
ahAkxI_HttU3iD8C9_TnjA,3,>600k and <700k
cQQ_hGplgiIVJYujt6MtEA,2,>600k and <700k
syJ10HLil_l4HC6hDejX9Q,1,>600k and <700k
MpfauJengAZHTzoIkwP_yw,2,>600k and <700k
L4NVay39D3YtL3LR6dckIQ,2,>600k and <700k
Uj693wthG_JL3wcyWKU4WQ,2,>600k and <700k
f9fdZzlXw64nnjNfAas6iQ,2,>600k and <700k
FjOxwkJl09G6fRrMMNKgHA,2,>600k and <700k
ObVfDOaMLPC5-bDZtP0xEw,2,>600k and <700k
xbq9joSn5tPl7NazPqZNgQ,2,>600k and <700k
Lefkq2uDbtWkyIy4qrjUig,Not Available,>600k and <700k
aT0FkHRCldKgeq4vDMiZ-Q,2,>600k and <700k
NTnYdIGt5up03hm_hyqLBg,2,>600k and <700k
8qye9AmmwkRjMYH6BOTjEw,3,>600k and <700k
oBuchCGQDpHZk-Yj2mYAkA,1,>600k and <700k
4m8ZezBnKeDYf9WIqJhAHw,2,>600k and <700k
ZriKK15zwNXWG1FZvPtpRQ,2,>600k and <700k
vZxYj_-qXcieR-00lgfP8g,Not Available,>600k and <700k
KhcJ4jcLos6Kd42pL9iZLA,2,>600k and <700k
A-5_OUZLV3WNC441xM4wAQ,2,>600k and <700k
-bPvMbCYxEXpglcs-RhnBQ,1,>600k and <700k
3OLli8OeJguWA53L6IT5lA,1,>600k and <700k
uW5e7E5fr9WsNPFNyXehiQ,1,>600k and <700k
haQIHxNVhyKSzVlQZ3hrsQ,1,>600k and <700k
PBM6I61CJtSpwz_H0sqDGg,1,>600k and <700k
OP3hXjPJiWVxPHBmNj9ztw,2,>600k and <700k
W3x6BBb090odXMA1iKCZLg,2,>600k and <700k
nX0MM0526aDWNCm5CZfCeQ,1,>600k and <700k
YgWAcEw88h_xKfm3yAXMrg,2,>600k and <700k
EreK2vomkBNFHbjHKXyqNg,2,>600k and <700k
WlTPQwhKyEDogIXQfP0uYA,Not Available,>600k and <700k
TDZntLCBYk4PsGYWP2fD3w,2,>600k and <700k
IAW5kQwBQeJpvGw2BKT-hg,1,>600k and <700k
7p6TAxZ5GVwX-_Xf1JWOxQ,1,>600k and <700k
XsdNrAb8kDo7vkEdYcr1QQ,1,>600k and <700k
6MgFLl4lR6oBbWyyB9M9QA,2,>600k and <700k
29jtrahL9W5yLrMr8bgfog,2,>600k and <700k
7hoeY0ub8DNL2kuXQ5a4lQ,2,>600k and <700k
wLgjLfV0CZhruS9LHNFHYg,Not Available,>600k and <700k
OhyT_zHzwLrpG9DW5Chg_A,1,>600k and <700k
udHnPxW8VS5MqabJqpGKVg,2,>600k and <700k
pNgTc2M_wtDGd3MQNJ3Odw,1,>600k and <700k
f0AwJaLnmh_oRY5rTqjoSQ,1,>600k and <700k
Z2JC3Yrz82kyS86zEVJG5A,1,>600k and <700k
o7BAXaR9sH_rXqItyRxIJg,Not Available,>600k and <700k
