count_of_reviews,stars_double,business_id
5,1,-N85ANjBd1f7bqKsJp33lg
0,1,-pTd9hm1s-KzDHSMIYPDuQ
13,1,0IvCudVb4N0fJeFk4nAw8w
0,1,0eaI0AnkEcExSw4hCrQYJw
44,1,0hwek1UUcVvngP4JWFOaFg
0,1,1afqUAL74OJb2stQxv81sg
0,1,2YGLyA1B1f9107HQx45mfQ
0,1,2YNo-9hkbjTqr_PZ_nUNFA
5,1,2gx5zw4vovNIgGD2eFr0cw
1,1,2q8dee-PfO1VOPUi3GMdlw
0,1,2yWv7SHT1zY93zi_5ovzTw
0,1,3CEe0vm46qJeAB03AWQd8w
15,1,3G8d_Tc2gZYD0gS9JvMqFQ
0,1,3KrxlYenUbAheaJWLTh7Zw
9,1,3szH2TmKJbZTLtebrqH8Zw
0,1,42-yCTO4gFzU6y1VrJ_eyA
134,1,5STbrZ-GGRZbhH26s7j4nA
10,1,5do4Pr9-rZDtpUeFt-ko-w
7,1,6hPMfIMqXo_gJvy53EPrQQ
0,1,6smiItBgpDWZsUNe0k8x8g
8,1,7G6yH1063-mLUcXcKemDdQ
0,1,7YnfTBhhnnpH0cYPeCkQrA
0,1,88L0bHLj5vu5fAajOFLOQw
6,1,8ehEKnoY-ZFjRfM1q0Ybhg
22,1,8xbSg5zjg9Z92hPjEsXy4w
0,1,9EJj6f1sKVhJnB-vXv-Urg
6,1,9MFQ15k3N8n2Mezn5ijcRg
0,1,9_HCOC_lJX86yzesE25LJg
33,1,9cvyjQ1GjW5Hlb0oDmxlEQ
0,1,9ibTdafiAazdvc8GrYbwuw
0,1,9nvDCaNHXGjDeW8N4qgXgg
0,1,AvMpboR8InSN44fwWbIENA
0,1,BLYTomwgjOJGqg5oEZpIyw
0,1,BRK6mymmv0tqQxRRtzYROA
0,1,Bqq-_XxwQtPXdmn-p-udtA
10,1,C6Ky1pfKWEbykvwgNVMk2A
0,1,CEaZajAcudyQu-FVIadAYA
0,1,CFo_pThwqWfgE9CYwqKl1A
0,1,CH9o95-WY8FGehpsJtWUMQ
7,1,CtKjULH4WuxgB-mtFgBuBw
21,1,DM7iwBNzoel7ZqGTGEurAw
0,1,DPc9KpSVXc3r6sMEi6ZalA
12,1,Df9_pARzDkVypC-neMxOmg
0,1,E3QYlGDV_n2oH6Ma4TUUqg
0,1,EC8ahdS1bUZMUVuvHPFlUA
1,1,EQDqGncwnRtYKAOX7o4plQ
6,1,EQtweXqCW1epPszuxM87WQ
25,1,EfkYxosGakGk2VNMfzpQWw
0,1,EgYiYKOUVIhJ4H-RFuHeiw
46,1,F-ehtzIgdXpKwtUSQvvXZw
0,1,FoncKL7MKDAdj_krO5r26w
23,1,GZ1C5Sjp32wPTHB4Y2yPUA
6,1,GufvKqLltzYHW7zd_dLWgw
6,1,HVjoSbmDUFEcPA_h1OnYYA
0,1,HrhUc2eCulbiuDQANorHbA
5,1,Hv6H0egXQhcmhflh1o16vg
7,1,I9wF5esglJ1mlS-Xlj9BxA
4,1,IDLclRV3uCssVJYAUcqEyA
0,1,IOREz5MrUxHHz21B7BO5Cg
16,1,Iq4e2QCueedVEmsrlCDEGQ
0,1,K8MhQh-7bGj90XQp8CNn9w
0,1,KRPB7LX-xsjHGovkvUaOfw
5,1,KWxQH7EcGQZlo6s3QssoUA
6,1,L0sv1qI6qAL79IrJzgVxFg
0,1,LX5Dz7qsdawffkWg8lxpsQ
